req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_112,732,93,0.03708291053771973,0.03708624839782715,4.035892963409424,3.9988067150115967,3.998810052871704,1.9008584022521973,3.337860107421875e-06,True,
req_135,421,74,0.04024004936218262,0.040241241455078125,4.0475804805755615,4.007339239120483,4.007340431213379,2.4000244140625,1.1920928955078125e-06,True,
req_23,444,188,0.010173320770263672,0.010181665420532227,4.052328586578369,4.042146921157837,4.0421552658081055,0.4501688480377197,8.344650268554688e-06,True,
req_15,350,182,0.007195472717285156,0.00719761848449707,4.05945348739624,4.052255868911743,4.052258014678955,0.31140565872192383,2.1457672119140625e-06,True,
req_106,466,115,0.03563880920410156,0.03563976287841797,4.072563409805298,4.03692364692688,4.036924600601196,1.555077075958252,9.5367431640625e-07,True,
req_74,618,190,0.02778482437133789,0.0277862548828125,4.075685501098633,4.04789924621582,4.047900676727295,0.6227853298187256,1.430511474609375e-06,True,
req_79,315,186,0.02923583984375,0.02923750877380371,4.154808282852173,4.125570774078369,4.125572443008423,0.6142807006835938,1.6689300537109375e-06,True,
req_11,753,190,0.0055582523345947266,0.005560636520385742,4.2360100746154785,4.230449438095093,4.230451822280884,0.3130190372467041,2.384185791015625e-06,True,
req_61,395,190,0.02401137351989746,0.024013280868530273,4.244110107421875,4.220096826553345,4.2200987339019775,0.5111639499664307,1.9073486328125e-06,True,
req_88,710,191,0.03160810470581055,0.03160977363586426,4.250308990478516,4.218699216842651,4.218700885772705,0.6120476722717285,1.6689300537109375e-06,True,
req_54,562,192,0.0219266414642334,0.02192854881286621,4.264148950576782,4.242220401763916,4.242222309112549,0.5130081176757812,1.9073486328125e-06,True,
req_118,713,98,0.0378880500793457,0.03788900375366211,4.2699806690216064,4.232091665267944,4.232092618942261,2.068837881088257,9.5367431640625e-07,True,
req_129,518,97,0.03942704200744629,0.0394282341003418,4.360304355621338,4.320876121520996,4.320877313613892,2.274327278137207,1.1920928955078125e-06,True,
req_133,429,92,0.03997492790222168,0.039975881576538086,4.370057582855225,4.3300817012786865,4.330082654953003,2.400139808654785,9.5367431640625e-07,True,
req_113,670,133,0.03722262382507324,0.03722381591796875,4.614620923995972,4.577397108078003,4.577398300170898,1.9189989566802979,1.1920928955078125e-06,True,
req_127,697,116,0.03916525840759277,0.03916645050048828,4.63533353805542,4.596167087554932,4.596168279647827,2.274716377258301,1.1920928955078125e-06,True,
req_168,277,65,0.04457449913024902,0.04457545280456543,4.671357154846191,4.626781702041626,4.626782655715942,3.4077653884887695,9.5367431640625e-07,True,
req_128,260,112,0.039299726486206055,0.039301156997680664,4.675938606262207,4.636637449264526,4.636638879776001,2.2728171348571777,1.430511474609375e-06,True,
req_159,629,68,0.043424367904663086,0.04342532157897949,4.694767236709595,4.651341915130615,4.651342868804932,3.183847188949585,9.5367431640625e-07,True,
